M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,题号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
A1,1,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,2,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,6,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,5,3,4,3,5,73,否
,7,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,12,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,13,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
A2,3,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,4,4,5,4,5,5,5,5,33,4,5,4,5,4,5,4,5,5,5,5,4,3,4,3,5,70,否
,5,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,5,3,4,3,5,73,否
,8,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,9,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,10,5,5,4,5,5,5,5,34,5,5,4,5,4,5,4,5,5,5,5,4,3,4,3,5,71,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,12,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,13,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,14,4,5,4,5,5,5,5,33,4,5,4,5,4,5,4,5,5,5,5,4,3,4,3,5,70,否
,15,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,16,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,25,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,39,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,40,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,41,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,42,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,43,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
A3-4,19,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,20,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,21,5,5,5,5,5,5,5,35,4,5,3,5,4,5,3,5,5,5,5,4,3,4,3,3,66,否
,22,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,23,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,24,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,25,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,26,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,27,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,28,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,29,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,30,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,31,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,32,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
B,1,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,2,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,3,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
多项选择题,1,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,13,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,14,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,15,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,16,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,17,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,18,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72,否
,19,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70,否
,平均,4.96,5,4.94,5,5,5,5,34.9,4.94,5,3.98,5,3.58,5,4.9,5,5,5,5,4.04,2.58,4,3,4.96,70.98,正确率：0/50
,方差,0.197948663722157,0,0.239897937482095,0,0,0,0,0.416496563917521,0.239897937482095,0,0.141421356237309,0,0.49856938190329,0,0.364215679542342,0,0,0,0,0.197948663722158,0.49856938190329,0,0,0.282842712474619,1.26958132259965,A1:0/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:0/18
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:0/14
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:0/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:0/8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
